isotope,serie,energy,bkg,bkg_error,standard_name,standard,standard_error
K-40,potassium,1460.83,0.685311159,0.08788705,GSN,149.9313288,0.841796533
Pb-210,uranium,46.5,0.479285871,0.122699255,GSN,37.5281848,1.01232601
Th-234,uranium,63,0.000610689,0.085048033,GSN,42.30677781,0.913230228
Th-234,uranium,92.8,0.342394118,0.172292402,GSN,127.6303325,1.481626918
U-235,uranium,185.8,0.09801267,0.122411622,GSN,51.47796082,0.825029718
Pa-234m,uranium,1001.03,0.062775137,0.049292119,GSN,1.73138839,0.276956061
Th-230,uranium,67.67,-0.444685444,0.088782516,GSN,5.926391916,0.846009731
Pb-214,uranium,295.091,0.804257089,0.106214421,GSN,97.14781804,0.798810157
Pb-214,uranium,351.87,1.447696738,0.094063625,GSN,157.3879001,0.889577865
Bi-214,uranium,609.311,1.099398412,0.102151216,GSN,97.26832333,0.767524265
Bi-214,uranium,1120.273,0.193056181,0.092268336,GSN,18.22862154,0.555662243
Pb-212,thorium,238.6,0.307944743,0.089457311,GSN,481.6988547,1.419608142
Ac-228,thorium,339.1,0.001003664,0.076480768,GSN,85.06510573,0.692404999
Tl-208,thorium,583.191,0.093740311,0.060471218,GSN,111.0588805,0.723395548
Bi-212,thorium,727.1,0.030671489,0.074590395,GSN,24.61778154,0.517454846
Tl-208,thorium,860.54,-0.11272259,0.077636398,GSN,13.6898679,0.443913292
Ac-228,thorium,911.205,0.079826145,0.074612037,GSN,75.378646,0.659272856
Ac-228,thorium,968.971,0.057416614,0.051922382,GSN,43.37370189,0.485398023
